gold_id,job_id,knowledge,confidence_score,confidence_tier,source,notes,is_correct,labeler_id
gk_eac19662d2c6,in-3cb752ad4a2b2742,General Insurance reserving,0.83,High,BERT+LLM,,yes,alice
gk_6ab1d024ae5b,in-892d5cac080587e9,Styled Components,0.809,High,BERT+LLM,,yes,alice
gk_40b224eb0a70,in-688c9596567360d1,Python,0.846,High,BERT+LLM,,yes,alice
gk_69a33adebc72,in-f394adc0c6946005,Object-oriented programming,0.807,High,BERT+LLM,,yes,alice
gk_e7b8f95c6108,in-8922fb1fa43b8894,Go,0.844,High,BERT+LLM,,yes,alice
gk_af95091af45e,in-363d647dec266b6b,version control tools,0.803,High,BERT+LLM,,yes,alice
gk_e642e8ac6f08,in-b2dca9e3c6433a21,pretraining,0.852,High,BERT+LLM,,yes,alice
gk_6d0c8af72026,in-678a2e293eb50faa,business,0.833,High,BERT+LLM,,yes,alice
gk_dc7ae7802d51,in-b2dca9e3c6433a21,orchestration frameworks,0.836,High,BERT+LLM,,yes,alice
gk_c4e2bf3af90a,in-062b683865789456,MongoDB,0.848,High,BERT+LLM,,yes,alice
gk_dfc1ac09fc13,in-f3e4008c87930740,.NET,0.848,High,BERT+LLM,,yes,alice
gk_97eb1e472884,in-3a39cfdef1dc8c0a,secure coding practices,0.851,High,BERT+LLM,,yes,alice
gk_4b1b01d78f94,in-6cbd79acfd842c46,relational databases,0.85,High,BERT+LLM,,yes,alice
gk_d768f148227e,in-ae4bd158a40ff371,Xbox,0.848,High,BERT+LLM,,yes,alice
gk_40e02ef95e5e,in-8ac4086dd9ddd4b6,version control systems,0.843,High,BERT+LLM,,yes,alice
gk_74b5a799bb31,in-5954110f7af52605,NodeJS,0.841,High,BERT+LLM,,yes,alice
gk_a2555a4bead5,in-aafaf175d9daeacb,VRay,0.852,High,BERT+LLM,,yes,alice
gk_73c62d1eb155,in-5f6b1fd17c9867d0,ServiceNow,0.83,High,BERT+LLM,,yes,alice
gk_e0e35820f97a,in-d9c5a16b8c8a9873,"programming techniques, best practices",0.405,Low,BERT (standalone),,yes,alice
gk_6ff8341c3f47,in-076c1dc9b22be783,Bachelor's or,0.441,Low,BERT (standalone),,no,alice
gk_2689538e2da5,in-8ac4086dd9ddd4b6,Cloud,0.41,Low,BERT (standalone),,yes,alice
gk_ce2e0f7403e9,in-ea5fe0c67dbb09a7,REST,0.687,Medium,BERT+LLM,,yes,alice
gk_d5ce0175bf3f,in-e5a40a553d833e46,AI Business Process,0.7,Medium High,BERT+LLM,,yes,alice
gk_7771cde8b091,in-fa78458f9443eaa7,web-based systems,0.762,Medium High,BERT+LLM,,yes,alice
gk_0d30ef429bdf,in-300ad6c0e8012768,Engineering Geology,0.794,Medium High,BERT+LLM,,yes,alice
gk_ec45c9a0a444,in-0cb1ebadc05ba17e,steam and hydronic heating,0.793,Medium High,BERT+LLM,,yes,alice
gk_0dd35820a02b,in-80759602520c230d,company processes,0.75,Medium High,LLM,,yes,alice
gk_9ae1fe96dfae,in-574bb29290066b49,structural design,0.75,Medium High,LLM,,yes,alice
gk_3bd1bc1eae26,in-276ee08934e98ebb,ETL processes,0.75,Medium High,LLM,,yes,alice
gk_6c81b44456fc,in-9f20bda14e76bb36,human rights,0.75,Medium High,LLM,,yes,alice
gk_c44b37c34679,in-ad7d0fa387739d7f,analyses,0.75,Medium High,LLM,,no,alice
gk_f0092274ac53,in-3c9053efee28bcf7,Data Science,0.75,Medium High,LLM,,yes,alice
gk_79681549114e,in-2e00425a4374e584,Digital car marketplace,0.75,Medium High,LLM,,yes,alice
gk_4f7db324eed1,in-46b87efdabab81b8,Retail Technology Services (RBS),0.75,Medium High,LLM,,yes,alice
gk_fe64158785aa,in-cd349d1d935d2e5e,database infrastructure,0.75,Medium High,LLM,,yes,alice
gk_f7706ff646b6,in-a55c33244443944b,System compliance,0.75,Medium High,LLM,,yes,alice
gk_0001fa11f6e9,in-a0164aaab4c60f1a,Digital platforms,0.75,Medium High,LLM,,yes,alice
gk_228bdd636eb1,in-da75ce1c71b76fd7,medical insurance,0.75,Medium High,LLM,,yes,alice
gk_89cf694e848a,in-b4ba1f38c5f62d25,Microsoft,0.75,Medium High,LLM,,yes,alice
gk_d01adfe9efd1,in-fac0a95b0783fd9d,uncertainty,0.75,Medium High,LLM,,no,alice
gk_47ac1cd5924d,in-5954110f7af52605,web services,0.75,Medium High,LLM,,yes,alice
gk_d8b75bd6088d,in-91f2b7a5bc51b432,community networks,0.75,Medium High,LLM,,yes,alice
gk_a089b8b5240d,in-c674ecd13f250f5b,AI,0.75,Medium High,LLM,,yes,alice
gk_74f3ce26a50e,in-e8e6926b64d2b259,SLA targets,0.75,Medium High,LLM,,yes,alice
gk_b830b2df9ada,in-5f22cc9f13b5d3b9,recruitment,0.75,Medium High,LLM,,no,alice
gk_64df8ccc0929,in-688c9596567360d1,vault strategies,0.75,Medium High,LLM,,yes,alice
gk_db36129e95bd,in-31312032e7feb5d2,inventory units,0.75,Medium High,LLM,,no,alice
gk_609ea925915c,in-b9ab4333e21cb5ef,NACES | National Association of Credential Evaluation Services,0.75,Medium High,LLM,,no,alice
gk_dd04108293b2,in-1275cf05b8a8e15e,banking partners,0.75,Medium High,LLM,,no,alice
gk_21c09755d8ce,in-8548b0597f7e73f4,L3 support,0.75,Medium High,LLM,,yes,alice
gk_a66d5695e5dc,in-2b2bf00f37de72ce,banking,0.75,Medium High,LLM,,yes,alice
gk_5d3bab0dbd47,in-43ef55143f3f5bc4,hybrid methodologies,0.75,Medium High,LLM,,yes,alice
gk_d2e20d3cf187,in-4b1eb891426139d1,RAG pipelines,0.75,Medium High,LLM,,yes,alice
gk_9314f8ad7e8f,in-1291b47e03c5d4d1,Salesforce Commerce Cloud,0.75,Medium High,LLM,,yes,alice
gk_d80e89528f54,in-7433c244aa75bf36,Legal notification procedures,0.75,Medium High,LLM,,yes,alice
gk_c7aeff3d888e,in-ad97db3183f887b0,performance-first messaging,0.75,Medium High,LLM,,yes,alice
gk_705fa353046b,in-277cf9b06c74153d,Training and Development,0.75,Medium High,LLM,,yes,alice
gk_32abd6c3e609,in-5211c83d2e8587c2,AI/ML pipelines,0.75,Medium High,LLM,,yes,alice
gk_fd584e988447,in-e9b1c6997aa8f558,data solutions,0.75,Medium High,LLM,,yes,alice
gk_9bc05af78a58,in-00c0b91f9c9cb324,AECOM University,0.75,Medium High,LLM,,no,alice
gk_3b13f18f4ec6,in-5f1f0bf19752b894,Treaty of Waitangi,0.75,Medium High,LLM,,no,alice
gk_2a666bdfa464,in-2852318d9eae20d7,data,0.75,Medium High,LLM,,yes,alice
gk_afa573e630a7,in-2f43fa6cbbb72894,Visual arts,0.75,Medium High,LLM,,yes,alice
gk_2c0bde2dc19a,in-678a2e293eb50faa,educational technology,0.75,Medium High,LLM,,yes,alice
gk_82cd161f203d,in-b4b1e4c5481eb021,sea,0.75,Medium High,LLM,,no,alice
gk_a7f363bfd21b,in-35108d28ef6423ea,cloud-based software,0.75,Medium High,LLM,,yes,alice
gk_f35362d6ec98,in-d716af8536957907,Helpdesk,0.75,Medium High,LLM,,no,alice
gk_4c3fc4ee99ff,in-ec8b3e52f58027f9,Wind generation,0.75,Medium High,LLM,,yes,alice
gk_29f0eb64246c,in-d9c5a16b8c8a9873,internal documentation,0.75,Medium High,LLM,,yes,alice
gk_3f26a8a7d0ac,in-184a7a102cde8e55,software,0.75,Medium High,LLM,,yes,alice
gk_f1fe22b088ee,in-08d8ebb8b3e31904,IAEA (Institute of Automotive Engineers Assessors),0.75,Medium High,LLM,,no,alice
gk_366309d114ba,in-5212768d253d606f,Innovation,0.75,Medium High,LLM,,no,alice
gk_cc0751afc89c,in-67013bb2bdcd7a2e,Veteran Employment Support,0.75,Medium High,LLM,,no,alice
gk_5d91aa1a83ff,in-e03357f052aa5454,queries,0.75,Medium High,LLM,,no,alice
gk_bcc79eb1b046,in-63f514f2585f0cdf,Surveillance and Automation Solutions,0.75,Medium High,LLM,,yes,alice
gk_08dd9a4884b8,in-b7f6c244f45d842b,Notice of Action,0.75,Medium High,LLM,,no,alice
gk_d64cfcd07603,in-7461bc5cf0db64c7,data analytics,0.75,Medium High,LLM,,yes,alice
gk_a35c12889920,in-5dc0137fea6a865d,public security,0.75,Medium High,LLM,,yes,alice
gk_839f96e03c4a,in-d668cac92dcd7b94,networking background,0.75,Medium High,LLM,,yes,alice
gk_f79170f141a4,in-cf7f60dee735734d,user feedback,0.75,Medium High,LLM,,yes,alice
gk_fdfd553993ec,in-72108abf9de7587e,Hybrid working policy,0.75,Medium High,LLM,,yes,alice
gk_278134f970e8,in-7df8014e102f91c2,Financial advisory,0.75,Medium High,LLM,,yes,alice
gk_83ef6111221c,in-3b22d29313e48ebe,AdsWizz,0.75,Medium High,LLM,,yes,alice
gk_20bb548aaeca,in-1f7c05e642b1bc5e,testing,0.75,Medium High,LLM,,no,alice
gk_da8bde5a2ca8,in-19e9ead015fac709,advanced tracing,0.75,Medium High,LLM,,yes,alice
gk_4209e6903b99,in-1c9bc4d03208284b,automation infrastructure,0.75,Medium High,LLM,,yes,alice
gk_1a3f4c3df277,in-e58a2746f2f75385,Canadian construction industry,0.75,Medium High,LLM,,no,alice
gk_b350a00a0df9,in-ae00f9eba4f4382f,industry frameworks,0.532,Medium Low,BERT (standalone),,yes,alice
gk_14058d2a08fe,in-bc3b380ce792d5ca,real,0.559,Medium Low,BERT (standalone),,no,alice
gk_d7c82421be64,in-d668cac92dcd7b94,"adjustment processes,",0.553,Medium Low,BERT (standalone),,no,alice
gk_2cdf88b0f06e,in-b608315da704076b,API,0.506,Medium Low,BERT (standalone),,yes,alice
gk_21cb6d12b636,in-421a4ae284174597,-to,0.559,Medium Low,BERT (standalone),,no,alice
gk_58f0b5d298f5,in-b74251dde8b8ccd5,-time,0.526,Medium Low,BERT (standalone),,no,alice
gk_b1af19ac75a4,in-ad97db3183f887b0,-first messaging.,0.522,Medium Low,BERT (standalone),,no,alice
gk_bdf08961274a,in-ad97db3183f887b0,short,0.513,Medium Low,BERT (standalone),,no,alice
gk_b67ff7ed33dd,in-3a39cfdef1dc8c0a,REST,0.56,Medium Low,BERT (standalone),,yes,alice
gk_054bfa2cf145,in-765dbbb271494469,demonstrations,0.577,Medium Low,BERT+LLM,,no,alice
gk_815e3c5735e5,in-f54c20b73814cf57,post,0.329,Very Low,BERT (standalone),,no,alice
gk_d4088c727db6,in-d4f8ee872b7a72ec,adviser,0.266,Very Low,BERT (standalone),,no,alice
gk_a260d7ee146d,in-68071ee351033ae8,-BGA,0.376,Very Low,BERT (standalone),,no,alice
